,cue,depth_1,depth_2,depth_3
357,table,rond,tabler,ronde
358,table,rond,tabler,chaise
359,table,rond,tabler,asseoir
360,table,chaise,fauteuil,canapé
361,table,chaise,fauteuil,asseoir
362,table,chaise,fauteuil,coussin
363,table,chaise,canapé,fauteuil
364,table,chaise,canapé,asseoir
365,table,chaise,canapé,meuble
366,table,chaise,asseoir,fauteuil
367,table,chaise,asseoir,canapé
368,table,chaise,asseoir,debout
369,table,ronde,rond,chaise
370,table,ronde,rond,tabler
371,table,ronde,rond,convier
372,table,ronde,chaise,rond
373,table,ronde,chaise,asseoir
374,table,ronde,chaise,fauteuil
375,table,ronde,tabler,rond
376,table,ronde,tabler,chaise
377,table,ronde,tabler,salle
378,toit,toiture,tuile,charpente
379,toit,toiture,tuile,brique
380,toit,toiture,tuile,façade
381,toit,toiture,façade,tuile
382,toit,toiture,façade,murs
383,toit,toiture,façade,charpente
384,toit,toiture,charpente,tuile
385,toit,toiture,charpente,façade
386,toit,toiture,charpente,maçonnerie
387,toit,tuile,toiture,charpente
388,toit,tuile,toiture,brique
389,toit,tuile,toiture,façade
390,toit,tuile,brique,toiture
391,toit,tuile,brique,murs
392,toit,tuile,brique,charpente
393,toit,tuile,charpente,toiture
394,toit,tuile,charpente,brique
395,toit,tuile,charpente,maçonnerie
396,toit,murs,toiture,façade
397,toit,murs,toiture,tuile
398,toit,murs,toiture,charpente
399,toit,murs,mur,toiture
400,toit,murs,mur,façade
401,toit,murs,mur,brique
402,toit,murs,façade,toiture
403,toit,murs,façade,tuile
404,toit,murs,façade,mur
405,jeunesse,jeune,jeunes,ados
406,jeunesse,jeune,jeunes,adolescent
407,jeunesse,jeune,jeunes,associatif
408,jeunesse,jeune,adolescent,ados
409,jeunesse,jeune,adolescent,adolescence
410,jeunesse,jeune,adolescent,enfance
411,jeunesse,jeune,enfance,adolescent
412,jeunesse,jeune,enfance,adolescence
413,jeunesse,jeune,enfance,enfant
414,jeunesse,sport,sportif,sports
415,jeunesse,sport,sportif,loisir
416,jeunesse,sport,sportif,athlétisme
417,jeunesse,sport,sports,sportif
418,jeunesse,sport,sports,loisir
419,jeunesse,sport,sports,associatif
420,jeunesse,sport,loisir,sportif
421,jeunesse,sport,loisir,sports
422,jeunesse,sport,loisir,associatif
423,jeunesse,enfance,adolescence,adolescent
424,jeunesse,enfance,adolescence,ados
425,jeunesse,enfance,adolescence,enfant
426,jeunesse,enfance,adolescent,adolescence
427,jeunesse,enfance,adolescent,ados
428,jeunesse,enfance,adolescent,enfant
429,jeunesse,enfance,jeune,adolescent
430,jeunesse,enfance,jeune,adolescence
431,jeunesse,enfance,jeune,enfant
432,nord,sud,ouest,nord-est
433,nord,sud,ouest,nord-ouest
434,nord,sud,ouest,sud-est
