id_participant,cues
35,sens
35,jardin
35,jeunesse
35,gauche
35,mer
35,colline
35,passion
35,cause
35,question
35,faim
35,lutte
35,science
35,doigt
35,flamme
35,garçon
35,flamme
35,vin
35,table
35,larme
35,gauche
35,arbre
35,pierre
35,école
35,rôle
35,horizon
35,façon
35,jardin
35,avis
35,rayon
35,objet
35,toit
35,lit
35,morceau
35,rose
35,preuve
35,passage
35,lutte
35,sens
35,position
35,rapport
35,page
35,doigt
35,chien
35,question
35,passion
35,peau
35,fil
35,appel
35,lune
35,visage
35,principe
35,désir
35,lèvre
35,herbe
35,jambe
35,jeunesse
35,mer
35,machine
35,nord
35,masse
35,chambre
35,colline
35,début
35,oncle
35,habitude
35,mari
35,direction
35,cause
35,acte
35,soeur
35,faim
35,mur
35,genre
35,science
35,vache
35,enfant
36,direction
36,page
36,garçon
36,mer
36,passion
36,rôle
36,position
36,herbe
36,passage
36,désir
36,lutte
36,genre
36,toit
36,science
36,doigt
36,cause
36,lèvre
36,masse
36,morceau
36,début
36,larme
36,preuve
36,acte
36,vache
36,sens
36,machine
36,jambe
36,arbre
36,lune
36,jeunesse
36,table
36,rapport
36,avis
36,flamme
36,nord
36,rose
36,principe
36,lit
36,soeur
36,oncle
36,fil
36,chambre
36,appel
36,école
36,objet
36,visage
36,colline
36,vin
36,habitude
36,pierre
36,enfant
36,faim
36,chien
36,façon
36,question
36,jardin
36,peau
36,rayon
36,horizon
36,mur
36,mari
36,gauche
36,oncle
36,sens
36,question
36,machine
36,table
36,colline
36,désir
36,habitude
36,appel
36,science
36,mer
36,doigt
36,mur
36,garçon
36,fil
36,pierre
36,horizon
36,page
36,lèvre
36,rose
36,objet
36,larme
36,lune
36,soeur
36,mari
36,école
36,acte
36,arbre
36,vache
36,chambre
36,principe
36,herbe
36,jambe
36,rayon
36,visage
36,lutte
36,passion
36,lit
36,jeunesse
36,preuve
36,flamme
36,rôle
36,vin
36,cause
36,position
36,morceau
36,toit
36,avis
36,nord
36,passage
36,peau
36,masse
36,genre
36,faim
36,début
36,enfant
36,façon
36,chien
36,jardin
36,rapport
36,direction
36,gauche
37,rayon
37,herbe
37,sens
37,début
37,objet
37,gauche
37,lèvre
37,direction
37,mer
37,école
37,désir
37,chambre
37,lune
37,mur
37,garçon
37,toit
37,vache
37,rôle
37,preuve
37,genre
37,rose
37,habitude
37,table
37,nord
37,flamme
37,jardin
37,faim
37,peau
37,oncle
37,morceau
37,arbre
37,passion
37,doigt
37,acte
37,masse
37,horizon
37,lutte
37,avis
37,mari
37,lit
37,vin
37,question
37,jeunesse
37,pierre
37,larme
37,page
37,façon
37,enfant
37,position
37,visage
37,jambe
37,colline
37,science
37,principe
37,soeur
37,cause
37,chien
37,rapport
37,machine
37,appel
37,fil
37,passage
37,rôle
37,table
37,enfant
37,jardin
37,école
37,rapport
37,page
37,toit
37,colline
37,passion
37,chien
37,vin
37,mari
37,lit
37,herbe
37,masse
37,faim
37,peau
37,acte
37,machine
37,jeunesse
37,nord
37,objet
37,rayon
37,flamme
37,rose
37,genre
37,gauche
37,fil
37,chambre
37,lune
37,question
37,passage
37,pierre
37,lèvre
37,façon
37,larme
37,lutte
37,horizon
37,morceau
37,mur
37,principe
37,oncle
37,avis
37,direction
37,position
37,arbre
37,habitude
37,visage
37,début
37,garçon
37,preuve
37,cause
37,soeur
37,science
37,désir
37,appel
37,sens
37,jambe
37,mer
37,vache
37,doigt
38,rose
38,vache
38,habitude
38,gauche
38,désir
38,visage
38,passion
38,jambe
38,genre
38,enfant
38,machine
38,oncle
38,faim
38,larme
38,doigt
38,principe
38,question
38,école
38,science
38,rayon
38,masse
38,lune
38,début
38,position
38,direction
38,jardin
38,jeunesse
38,garçon
38,façon
38,toit
38,mari
38,rôle
38,cause
38,mur
38,table
38,page
38,rapport
38,herbe
38,acte
38,colline
38,vin
38,avis
38,peau
38,arbre
38,sens
38,morceau
38,soeur
38,lutte
38,lèvre
38,nord
38,mer
38,passage
38,horizon
38,lit
38,appel
38,flamme
38,objet
38,chien
38,chambre
38,pierre
38,preuve
38,fil
38,jeunesse
38,objet
38,herbe
38,doigt
38,vache
38,lutte
38,question
38,science
38,chien
38,arbre
38,pierre
38,lèvre
38,table
38,chambre
38,mer
38,enfant
38,gauche
38,acte
38,larme
38,vin
38,habitude
38,fil
38,lit
38,rayon
38,faim
38,direction
38,appel
38,morceau
38,passion
38,sens
38,genre
38,cause
38,position
38,mur
38,rôle
38,oncle
38,nord
38,école
38,toit
38,masse
38,soeur
38,lune
38,peau
38,jardin
38,horizon
38,garçon
38,début
38,visage
38,façon
38,page
38,principe
38,preuve
38,machine
38,passage
38,flamme
38,jambe
38,rapport
38,colline
38,désir
38,mari
38,avis
38,rose
39,toit
39,preuve
39,vin
39,nord
39,appel
39,oncle
39,rapport
39,vache
39,morceau
39,arbre
39,lutte
39,larme
39,machine
39,école
39,chien
39,sens
39,acte
39,rose
39,début
39,page
39,pierre
39,rayon
39,mer
39,cause
39,table
39,jeunesse
39,position
39,lune
39,direction
39,science
39,avis
39,objet
39,horizon
39,masse
39,flamme
39,gauche
39,genre
39,lèvre
39,colline
39,fil
39,passion
39,herbe
39,mur
39,lit
39,passage
39,principe
39,soeur
39,faim
39,garçon
39,peau
39,chambre
39,jambe
39,visage
39,habitude
39,mari
39,désir
39,rôle
39,façon
39,enfant
39,question
39,doigt
39,jardin
39,lutte
39,vache
39,désir
39,rose
39,acte
39,mur
39,avis
39,fil
39,question
39,enfant
39,machine
39,lit
39,mer
39,passion
39,début
39,école
39,visage
39,peau
39,morceau
39,herbe
39,page
39,passage
39,rapport
39,doigt
39,garçon
39,toit
39,façon
39,masse
39,lune
39,sens
39,direction
39,position
39,larme
39,flamme
39,table
39,horizon
39,rôle
39,soeur
39,science
39,lèvre
39,chien
39,nord
39,genre
39,colline
39,jeunesse
39,objet
39,jambe
39,pierre
39,oncle
39,mari
39,rayon
39,faim
39,gauche
39,jardin
39,preuve
39,vin
39,chambre
39,principe
39,cause
39,appel
39,arbre
39,habitude
40,rayon
40,mer
40,vin
40,peau
40,arbre
40,chambre
40,fil
40,façon
40,objet
40,passion
40,page
40,pierre
40,machine
40,jambe
40,larme
40,lune
40,horizon
40,faim
40,début
40,toit
40,mur
40,sens
40,flamme
40,colline
40,habitude
40,direction
40,masse
40,question
40,enfant
40,doigt
40,jardin
40,nord
40,chien
40,mari
40,jeunesse
40,garçon
40,soeur
40,rôle
40,cause
40,rose
40,preuve
40,lèvre
40,lutte
40,science
40,table
40,herbe
40,morceau
40,désir
40,rapport
40,lit
40,passage
40,appel
40,visage
40,gauche
40,principe
40,vache
40,école
40,oncle
40,avis
40,genre
40,acte
40,position
40,rayon
40,lit
40,fil
40,lutte
40,passage
40,horizon
40,rôle
40,question
40,chien
40,machine
40,masse
40,faim
40,chambre
40,oncle
40,arbre
40,mur
40,preuve
40,habitude
40,morceau
40,passion
40,appel
40,principe
40,herbe
40,lune
40,direction
40,vin
40,désir
40,genre
40,jardin
40,rapport
40,position
40,colline
40,mer
40,peau
40,visage
40,gauche
40,toit
40,jambe
40,page
40,garçon
40,école
40,rose
40,vache
40,science
40,flamme
40,enfant
40,acte
40,avis
