,lemme,phon,cgram,freqlemfilms2,freqlemlivres
527,malade,malad,ADJ,158.27,73.92
528,rue,Ry,NOM,157.81,562.97
529,lettre,lEtR,NOM,156.77,256.01
530,ignorer,iNoRe,VER,156.55,108.45
531,fête,fEt,NOM,155.97,94.05
532,esprit,EspRi,NOM,155.82,216.28
533,couper,kupe,VER,155.82,140.88
534,super,sypER,ADJ,154.83,7.09
535,taire,tER,VER,154.46,139.8
536,seigneur,sEN9R,NOM,153.82,60.14
537,flic,flik,NOM,153.5,72.43
539,capitaine,kapitEn,NOM,152.69,92.57
540,âge,aZ,NOM,152.59,217.43
542,force,fORs,NOM,151.96,344.73
543,pièce,pjEs,NOM,151.1,276.35
545,cul,ky,NOM,150.81,68.31
546,difficile,difisil,ADJ,150.58,118.11
547,bras,bRa,NOM,149.26,487.97
548,tromper,tR§pe,VER,149.09,97.3
550,ressembler,R°s@ble,VER,148.62,157.5
551,jurer,ZyRe,VER,148.41,81.76
552,plan,pl@,NOM,147.54,88.99
553,prison,pRiz§,NOM,147.49,72.43
555,sale,sal,ADJ,146.86,102.03
556,courir,kuRiR,VER,146.5,263.38
557,premier,pR2mje,NOM,145.76,173.92
558,vieux,vj2,NOM,145.73,185.81
559,état,eta,NOM,145.72,218.18
560,remettre,R°mEtR,VER,144.99,202.5
561,carte,kaRt,NOM,144.96,111.42
562,paix,pE,NOM,144.86,103.72
563,noir,nwaR,ADJ,144.81,482.23
565,drôle,dRol,ADJ,144.48,95.07
566,refuser,R°fyze,VER,143.96,152.77
568,président,pRezid@,NOM,143.39,79.66
569,cours,kuR,NOM,143.05,176.76
570,grave,gRav,ADJ,142.48,93.78
571,terminer,tERmine,VER,142.38,100.0
572,ciel,sjEl,NOM,142.32,305.2
574,âme,am,NOM,141.59,151.62
575,patron,patR§,NOM,141.53,132.43
576,amuser,amyze,VER,141.41,120.95
578,visage,vizaZ,NOM,141.23,565.0
579,intéresser,5teRese,VER,140.8,117.36
580,reconnaître,R°konEtR,VER,140.73,229.19
581,rire,RiR,VER,140.24,320.54
582,médecin,mEds5,NOM,140.19,75.61
583,rapport,RapOR,NOM,140.08,130.95
584,pardonner,paRdone,VER,139.46,44.59
585,avis,avi,NOM,139.22,65.14
586,embrasser,@bRase,VER,138.97,137.5
587,retour,R°tuR,NOM,138.94,158.65
588,simple,s5pl,ADJ,137.69,148.58
589,danser,d@se,VER,137.36,92.57
591,exister,Egziste,VER,136.24,148.18
592,différent,difeR@,ADJ,135.8,92.03
594,lumière,lymjER,NOM,134.83,274.26
595,génial,Zenjal,ADJ,134.47,10.2
596,libre,libR,ADJ,134.42,167.91
598,dollar,dolaR,NOM,134.1,16.96
600,pareil,paREj,ADJ,133.45,149.66
602,hôpital,opital,NOM,133.15,54.93
604,réussir,ReysiR,VER,131.88,122.16
605,bizarre,bizaR,ADJ,131.41,52.23
606,voix,vwa,NOM,130.83,612.7
607,protéger,pRoteZe,VER,130.71,72.23
608,honneur,on9R,NOM,130.69,97.36
610,équipe,ekip,NOM,129.97,34.32
611,prévenir,pREv°niR,VER,129.28,73.72
612,cheval,S°val,NOM,129.12,179.26
615,maître,mEtR,NOM,128.55,151.49
616,avion,avj§,NOM,128.35,78.04
