,id_participant,cues,responses,likeability,originality,adequacy,frequencyCreaFlexFirst,frequencyCreaFlexDist,RT_answer,condition,unique_creaflexFirst,unique_creaflexDist,frequency_dictaverf,similarity
104,22,rapport,peur,59.0,80.0,63.0,0.0,0.0,0.1124191000017162,2,1,1,0.0,0.07258956
105,22,masse,foule,61.0,65.0,100.0,0.0208333333333333,0.0104166666666666,0.4742817999976978,2,0,0,0.05,0.1815704
106,22,chien,jeux,100.0,27.0,83.0,0.0,0.0104166666666666,0.2958614000017405,2,1,0,0.0,0.047080714
107,22,début,histoire,,,,0.0,0.0833333333333333,0.1599098000006051,2,1,0,0.017613,0.30792695
108,22,avis,aucun,57.0,77.0,77.0,0.0,0.0104166666666666,0.3945477999986906,2,1,0,0.0,0.17733313
109,22,chambre,douillet,,,,0.0,0.0,0.5852998999980628,2,1,1,0.001996,0.22727711
110,22,mari,strict,69.0,79.0,93.0,0.0,0.0,1.3802302000003692,2,1,1,0.0,0.0730388
111,22,gauche,politique,100.0,61.0,100.0,0.0104166666666666,0.0520833333333333,0.4670753000027616,2,0,0,0.016194,0.36802307
112,22,position,carte,,,,0.0104166666666666,0.0104166666666666,0.1969066000019665,2,0,0,0.0,0.12304651
113,22,principe,précaution,,,,0.0,0.0104166666666666,0.1740387000027112,2,1,0,0.015414,0.40268096
114,22,question,sciences,99.0,51.0,96.0,0.0,0.0,0.4497662999965541,2,1,1,0.0,0.09496425
115,22,garçon,,,,,0.0,0.0,0.0030030000016267,2,1,1,0.0,nan
116,22,jambe,sensualité,,,,0.0,0.0,0.5136400000010326,2,1,1,0.0,0.19309002
117,22,visage,douceur,,,,0.0,0.0104166666666666,0.2964621999999508,2,1,0,0.002012,0.4486416
118,22,faim,afrique,97.0,14.0,99.0,0.0,0.0,0.1479915999989316,2,1,1,0.0,0.15467338
119,22,arbre,jeu,52.0,35.0,88.0,0.0,0.0,0.5688279999994847,2,1,1,0.0,0.15120752
120,22,science,sévère,67.0,67.0,91.0,0.0,0.0,0.0245678999999654,2,1,1,0.0,0.029462764
121,22,appel,maman,100.0,71.0,87.0,0.0,0.0,0.1154234000023279,2,1,1,0.0,0.027766053
122,22,lit,drap,,,,0.0520833333333333,0.0,0.1177501000020129,2,0,1,0.039548,0.6254491
123,22,passion,jeux,,,,0.0,0.0,0.0951988000015262,2,1,1,0.0,0.13669407
124,23,machine,bois,,,,0.0,0.0,0.2539579000003868,1,1,1,0.001876,0.14484935
125,23,rapport,,50.0,71.0,79.0,0.0,0.0,0.0451117000011436,1,1,1,0.0,nan
126,23,genre,femme,70.0,1.0,100.0,0.125,0.0104166666666666,0.2056035999994492,1,0,0,0.018367,0.23310341
127,23,jardin,vert,75.0,36.0,66.0,0.0104166666666666,0.0,0.2220064000030106,1,0,1,0.074747,0.35536006
128,23,rayon,vert,,,,0.0,0.03125,1.7511266999972577,1,1,0,0.005576,0.1881326
129,23,colline,blanc,55.0,100.0,57.0,0.0,0.0,0.000212899998587,1,1,1,0.0,0.20920059
130,23,chien,joyeux,83.0,69.0,66.0,0.0,0.0,0.0002147999985027,1,1,1,0.0,0.11685226
131,23,peau,beige,95.0,59.0,97.0,0.0,0.0,0.0002436000031593,1,1,1,0.003876,0.26698297
132,23,mur,grand,,,,0.0,0.0,0.0002260000001115,1,1,1,0.0,0.20664012
133,23,science,froid,83.0,82.0,95.0,0.0,0.0,0.0002262000016344,1,1,1,0.0,0.05288792
134,23,enfant,jeune,100.0,21.0,95.0,0.03125,0.0208333333333333,0.0002538000007916,1,0,0,0.055028,0.42161226
135,23,lune,blanc,79.0,71.0,58.0,0.0,0.0,0.0002544999988458,1,1,1,0.005825,0.17422576
136,23,cause,bonne,66.0,37.0,87.0,0.0,0.0,0.0002462000011291,1,1,1,0.003976,0.106640294
137,23,table,ronde,5.0,100.0,29.0,0.0104166666666666,0.0625,0.0002800000002025,1,0,0,0.10057,0.45216697
138,23,toit,maison,100.0,29.0,83.0,0.65625,0.0208333333333333,0.0003047999998671,1,0,0,0.62978,0.32624567
139,23,jeunesse,joie,86.0,15.0,100.0,0.0104166666666666,0.0,0.9249949000004564,1,0,1,0.016,0.13470264
140,23,nord,sud,100.0,1.0,100.0,0.8333333333333334,0.0208333333333333,0.0002178999966417,1,0,0,0.69231,0.71217847
141,23,direction,loin,,,,0.0,0.0104166666666666,0.1507149999997636,1,1,0,0.0,0.21468309
142,23,mer,bleu,100.0,1.0,100.0,0.0,0.0,0.0002147999985027,1,1,1,0.046843,0.25183973
143,23,objet,rond,,,,0.0104166666666666,0.0,0.0003013999994436,1,0,1,0.003883,0.1430902
144,23,appel,téléphone,100.0,1.0,93.0,0.6458333333333334,0.0208333333333333,0.00022700000045,1,0,0,0.4881,0.24810405
145,23,lutte,combat,,,,0.34375,0.03125,0.668552399998589,1,0,0,0.32432,0.3233484
146,23,mari,femme,99.0,1.0,100.0,0.71875,0.0104166666666666,0.0002200000017182,1,0,0,0.64833,0.5626106
147,23,vin,alcool,83.0,2.0,100.0,0.2291666666666666,0.0104166666666666,0.0002251000005344,1,0,0,0.13972,0.36217436
148,23,rôle,pièce,87.0,23.0,93.0,0.0416666666666666,0.0104166666666666,0.5489746999992349,1,0,0,-1.0,0.111098565
149,23,horizon,nord,,,,0.0,0.0,0.0002978000011353,1,1,1,0.0,0.19000307
150,23,jambe,femme,,,,0.0,0.0,0.0002363999992667,1,1,1,0.004032,0.25555113
151,23,page,livre,,,,0.71875,0.03125,0.0002390000008745,1,0,0,0.56612,0.18665162
152,23,fil,aiguille,,,,0.2708333333333333,0.0,0.0002079000005323,1,0,1,0.24164,0.2567259
153,23,soeur,femme,,,,0.0,0.0,0.0002241000001959,1,1,1,0.0,0.36735487
154,23,preuve,justice,85.0,17.0,99.0,0.0104166666666666,0.0104166666666666,0.0002358999990974,1,0,0,0.025794,0.21743837
155,23,morceau,petit,75.0,19.0,82.0,0.0208333333333333,0.0,0.0002199999980803,1,0,1,0.007767,0.35313034
156,23,gauche,droite,100.0,1.0,100.0,0.8958333333333334,0.0104166666666666,0.0348502999986521,1,0,0,0.73482,0.81272703
157,23,doigt,main,85.0,4.0,100.0,0.625,0.0,0.000249699998676,1,0,1,0.56981,0.63803804
158,23,garçon,fille,,,,0.8229166666666666,0.0,0.2429249999986495,1,0,1,0.7616200000000001,0.79468346
159,23,façon,forme,,,,0.0,0.0104166666666666,0.0179013000015402,1,1,0,0.0,0.50508994
160,23,chambre,maison,,,,0.0729166666666666,0.0104166666666666,0.2250965999992331,1,0,0,0.031936,0.384986
